French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
